area_sqft,bedrooms,bathrooms,age_years,location_score,price
1472,1,1,11,3,226600
2268,5,3,1,8,419500
1782,3,3,26,2,271500
3930,3,3,30,7,586400
1209,5,3,35,2,250800
1979,4,1,35,4,329800
1934,3,1,25,7,341300
1148,1,2,26,3,174600
817,1,2,4,2,151300
4248,2,3,19,7,630000
3796,3,3,10,1,526000
4390,4,3,9,8,679300
1757,5,2,39,3,293700
1183,5,2,37,2,215100
1163,4,2,5,3,240300
2498,2,2,7,5,373800
4398,5,2,22,8,667200
3945,3,2,25,7,558900
4243,2,2,11,7,603500
2131,3,3,25,7,373400
1995,1,3,12,8,330000
3804,2,3,39,1,493400
4263,5,3,17,4,637100
1636,2,2,24,6,281900
2353,2,1,32,9,366800
2020,2,2,39,2,293500
2989,2,1,11,1,366400
1063,3,3,35,2,234600
1791,1,2,3,7,290500
4081,4,3,4,3,606600
4378,2,2,36,2,548500
3957,5,3,7,7,639900
3958,2,1,27,2,513500
3684,5,1,30,3,517300
2136,3,1,8,7,377000
4196,5,2,28,4,605700
3499,4,1,13,1,495700
3652,1,2,39,5,468300
1198,5,1,21,9,283500
2660,5,1,10,8,490300
501,1,2,22,9,164000
1141,4,2,0,9,293500
2767,2,1,36,7,392500
2089,5,2,20,4,362700
1354,1,1,25,5,210400
2259,3,2,35,1,322800
3796,1,3,22,1,474800
2932,3,3,0,3,460900
3974,4,3,39,8,583300
2161,2,3,14,2,348600
1653,1,3,20,4,247800
1576,5,1,8,2,288200
